year,title,score,passing,director,writer,producer,overall
2019.0,Alita: Battle Angel,3.0,1.0,0.0,1.0,0,1.0
2019.0,Close,3.0,1.0,1.0,1.0,0,2.0
2019.0,Cold Pursuit,1.0,0.0,0.0,0.0,0,0.0
2019.0,The Kid Who Would Be King,1.0,0.0,0.0,0.0,1,1.0
2019.0,Polar,2.0,0.0,0.0,0.0,0,0.0
2019.0,Serenity,1.0,0.0,0.0,0.0,0,0.0
2018.0,6 Balloons,3.0,1.0,1.0,1.0,0,2.0
2018.0,A private war,1.0,0.0,0.0,0.0,1,1.0
2018.0,A Quiet Place,1.0,0.0,0.0,0.0,0,0.0
2018.0,A Simple Favor,3.0,1.0,0.0,1.0,1,2.0
2018.0,A Star Is Born,3.0,1.0,0.0,1.0,0,1.0
2018.0,A Wrinkle in Time,3.0,1.0,1.0,1.0,1,3.0
2018.0,Alex Strangelove,2.0,0.0,0.0,0.0,0,0.0
2018.0,Alpha,0.0,0.0,0.0,0.0,0,0.0
2018.0,American Animals,1.0,0.0,0.0,0.0,0,0.0
2018.0,An Elephant Sitting Still (Da xiang xi di er zuo),0.0,0.0,0.0,0.0,0,0.0
2018.0,Annihilation,3.0,1.0,0.0,0.0,0,0.0
2018.0,Ant-Man and the Wasp,3.0,1.0,0.0,0.0,1,1.0
2018.0,Apostle,3.0,1.0,0.0,0.0,0,0.0
2018.0,Aquaman,3.0,1.0,0.0,0.0,1,1.0
2018.0,Avengers: Infinity War,3.0,1.0,0.0,0.0,1,1.0
2018.0,The Ballad of Buster Scruggs,1.0,0.0,0.0,0.0,1,1.0
2018.0,Ben Is Back,3.0,1.0,0.0,0.0,1,1.0
2018.0,Bird Box,3.0,1.0,1.0,0.0,0,1.0
2018.0,Black Panther,3.0,1.0,0.0,0.0,0,0.0
2018.0,BlacKkKlansman,3.0,1.0,0.0,0.0,0,0.0
2018.0,Blindspotting,1.0,0.0,0.0,0.0,0,0.0
2018.0,Blockers,3.0,1.0,1.0,0.0,0,1.0
2018.0,Bohemian Rhapsody,2.0,0.0,0.0,0.0,0,0.0
2018.0,Book Club,3.0,1.0,0.0,0.0,0,0.0
2018.0,Bumblebee,1.0,0.0,0.0,1.0,0,1.0
2018.0,Cam,3.0,1.0,0.0,0.0,0,0.0
2018.0,Can You Ever Forgive Me?,3.0,1.0,1.0,1.0,1,3.0
2018.0,The Cloverfield Paradox,3.0,1.0,0.0,0.0,1,1.0
2018.0,Colette,3.0,1.0,0.0,1.0,1,2.0
2018.0,Crazy Rich Asians,3.0,1.0,0.0,1.0,1,2.0
2018.0,Creed II,3.0,1.0,0.0,0.0,0,0.0
2018.0,Deadpool 2,2.0,0.0,0.0,0.0,1,1.0
2018.0,Dog Days,3.0,1.0,0.0,0.0,0,0.0
2018.0,Dude,3.0,1.0,0.0,0.0,1,1.0
2018.0,Dumplin',3.0,1.0,1.0,0.0,0,1.0
2018.0,Eighth Grade,3.0,1.0,0.0,0.0,0,0.0
2018.0,Fantastic Beasts: The Crimes of Grindelwald,2.0,0.0,0.0,1.0,0,1.0
2018.0,The Favourite,3.0,1.0,0.0,1.0,0,1.0
2018.0,First Man,3.0,1.0,0.0,0.0,0,0.0
2018.0,First Match,3.0,1.0,0.0,0.0,0,0.0
2018.0,The First Purge,1.0,0.0,0.0,0.0,0,0.0
2018.0,Free Solo,1.0,0.0,1.0,0.0,1,2.0
2018.0,Game Night,3.0,1.0,0.0,0.0,0,0.0
2018.0,The Girl in the Spider's Web,3.0,1.0,0.0,0.0,1,1.0
2018.0,Green Book,1.0,0.0,0.0,0.0,0,0.0
2018.0,The Guernsey Literary and Potato Peel Pie Society,3.0,1.0,0.0,0.0,0,0.0
2018.0,Halloween,3.0,1.0,0.0,0.0,0,0.0
2018.0,The Hate U Give,3.0,1.0,0.0,1.0,0,1.0
2018.0,Hearts Beat Loud,3.0,1.0,0.0,0.0,0,0.0
2018.0,The Heiresses,3.0,1.0,0.0,0.0,0,0.0
2018.0,Hereditary,3.0,1.0,0.0,0.0,0,0.0
2018.0,Hold the Dark,1.0,0.0,0.0,0.0,0,0.0
2018.0,The House with a Clock in Its Walls,1.0,0.0,0.0,0.0,1,1.0
2018.0,I Feel Pretty,3.0,1.0,1.0,1.0,0,2.0
2018.0,If Beale Street Could Talk,3.0,1.0,0.0,0.0,1,1.0
2018.0,Isle of Dogs,3.0,1.0,0.0,0.0,0,0.0
2018.0,Johnny English Strikes Again,1.0,0.0,0.0,0.0,0,0.0
2018.0,Jurassic World: Fallen Kingdom,3.0,1.0,0.0,0.0,0,0.0
2018.0,The Kissing Booth,3.0,1.0,0.0,1.0,0,1.0
2018.0,Leave No Trace,3.0,1.0,1.0,1.0,1,3.0
2018.0,Life of the Party,3.0,1.0,0.0,1.0,0,1.0
2018.0,"Love, Simon",1.0,0.0,0.0,0.0,0,0.0
2018.0,Mamma Mia! Here We Go Again,3.0,1.0,0.0,0.0,1,1.0
2018.0,The Man Who Killed Don Quixote,1.0,0.0,0.0,0.0,0,0.0
2018.0,Mandy,2.0,0.0,0.0,0.0,0,0.0
2018.0,Mary Queen of Scots,3.0,1.0,1.0,0.0,1,2.0
2018.0,Maze Runner: The Death Cure,3.0,1.0,0.0,0.0,0,0.0
2018.0,The Meg,3.0,1.0,0.0,0.0,0,0.0
2018.0,Mid90s,1.0,0.0,0.0,0.0,0,0.0
2018.0,The Miseducation of Cameron Post,3.0,1.0,1.0,1.0,0,2.0
2018.0,Mission Impossible: Fallout,1.0,0.0,0.0,0.0,0,0.0
2018.0,Mortal Engines,3.0,1.0,0.0,1.0,1,2.0
2018.0,Nappily Ever Aftet,3.0,1.0,1.0,0.0,1,2.0
2018.0,Ocean's 8,3.0,1.0,0.0,0.0,0,0.0
2018.0,The Old Man & the Gun,1.0,0.0,0.0,0.0,1,1.0
2018.0,On the Basis of Sex,3.0,1.0,1.0,0.0,0,1.0
2018.0,Overboard,3.0,1.0,0.0,0.0,0,0.0
2018.0,Pacific Rim: Uprising,3.0,1.0,0.0,1.0,1,2.0
2018.0,Patient Zero,1.0,0.0,0.0,0.0,0,0.0
2018.0,Please Stand By,3.0,1.0,0.0,0.0,0,0.0
2018.0,The Predator,1.0,0.0,0.0,0.0,0,0.0
2018.0,Rafiki,3.0,1.0,1.0,0.0,0,1.0
2018.0,Rampage,3.0,1.0,0.0,0.0,0,0.0
2018.0,Ready Player One,3.0,1.0,0.0,0.0,1,1.0
2018.0,Red Sparrow,3.0,1.0,0.0,0.0,1,1.0
2018.0,Searching,1.0,0.0,0.0,0.0,0,0.0
2018.0,Set It Up,3.0,1.0,0.0,0.0,0,0.0
2018.0,Sheherazade,3.0,1.0,0.0,0.0,0,0.0
2018.0,Sierra Burgess Is a Loser,3.0,1.0,0.0,0.0,0,0.0
2018.0,Skate Kitchen,3.0,1.0,1.0,0.0,0,1.0
2018.0,Slender Man,3.0,1.0,0.0,0.0,0,0.0
2018.0,Solo: A Star Wars Story,2.0,0.0,0.0,0.0,1,1.0
2018.0,Sorry to Bother You,1.0,0.0,0.0,0.0,1,1.0
2018.0,Spider-Man : Into the Spider-Verse,1.0,0.0,0.0,0.0,1,1.0
2018.0,The Spy Who Dumped Me,3.0,1.0,1.0,1.0,1,3.0
2018.0,Stan & Ollie,3.0,1.0,0.0,0.0,0,0.0
2018.0,Suspiria,3.0,1.0,0.0,0.0,0,0.0
2018.0,Tag,3.0,1.0,0.0,0.0,0,0.0
2018.0,The Titan,2.0,0.0,0.0,0.0,0,0.0
2018.0,To All the Boys I've Loved Before,3.0,1.0,1.0,1.0,0,2.0
2018.0,Tomb Raider,3.0,1.0,0.0,1.0,0,1.0
2018.0,Tully,3.0,1.0,0.0,1.0,1,2.0
2018.0,Venom,1.0,0.0,0.0,1.0,1,2.0
2018.0,Vice,2.0,0.0,0.0,0.0,1,1.0
2018.0,When We First Met,2.0,0.0,0.0,0.0,1,1.0
2018.0,Widows,3.0,1.0,0.0,1.0,0,1.0
2018.0,Wildling,3.0,1.0,0.0,0.0,1,1.0
2017.0,1922,1.0,0.0,0.0,0.0,0,0.0
2017.0,47 Meters Down,3.0,1.0,0.0,0.0,0,0.0
2017.0,6 days,0.0,0.0,0.0,0.0,0,0.0
2017.0,A Bad Moms Christmas,3.0,1.0,0.0,0.0,1,1.0
2017.0,A Christmas Prince,3.0,1.0,0.0,0.0,0,0.0
2017.0,A Dog's Purpose,1.0,0.0,0.0,1.0,0,1.0
2017.0,A Ghost Story,1.0,0.0,0.0,0.0,0,0.0
2017.0,Alien: Covenant,3.0,1.0,0.0,0.0,0,0.0
2017.0,All Eyez On Me,1.0,0.0,0.0,0.0,0,0.0
2017.0,All the Money in the World,2.0,0.0,0.0,0.0,0,0.0
2017.0,American Assassin,3.0,1.0,0.0,0.0,0,0.0
2017.0,American Made,1.0,0.0,0.0,0.0,0,0.0
2017.0,Amityville: The Awakening,3.0,1.0,0.0,0.0,0,0.0
2017.0,Annabelle: Creation,3.0,1.0,0.0,0.0,0,0.0
2017.0,Apostasy,3.0,1.0,0.0,0.0,0,0.0
2017.0,Atomic Blonde,3.0,1.0,0.0,0.0,1,1.0
2017.0,Ava,3.0,1.0,1.0,0.0,0,1.0
2017.0,Baby Driver,1.0,0.0,0.0,0.0,0,0.0
2017.0,The Babysitter,3.0,1.0,0.0,0.0,0,0.0
2017.0,Band Aid,3.0,1.0,1.0,1.0,0,2.0
