name,gender,nom_category,year
Charlie Chaplin,male,"Writing, Original Screenplay",1948
Charlie Chaplin,male,"Writing, Original Screenplay",1941
Peter Jackson,male,"Writing, Original Screenplay",1995
Michel Hazanavicius,male,"Writing, Original Screenplay",2012
Sylvester Stallone,male,"Writing, Original Screenplay",1977
Melvin Frank,male,"Writing, Original Screenplay",1974
Melvin Frank,male,"Writing, Original Screenplay",1955
Melvin Frank,male,"Writing, Original Screenplay",1961
Melvin Frank,male,"Writing, Original Screenplay",1947
Arthur C. Clarke,male,"Writing, Original Screenplay",1969
Spike Lee,male,"Writing, Original Screenplay",1990
John Huston,male,"Writing, Original Screenplay",1942
John Huston,male,"Writing, Original Screenplay",1941
Nanni Loy,male,"Writing, Original Screenplay",1964
Michael Powell,male,"Writing, Original Screenplay",1943
Peter Ustinov,male,"Writing, Original Screenplay",1969
Elia Kazan,male,"Writing, Original Screenplay",1964
Betty Comden,female,"Writing, Original Screenplay",1956
Betty Comden,female,"Writing, Original Screenplay",1954
Babaloo Mandel,male,"Writing, Original Screenplay",1985
Alain Robbe-Grillet,male,"Writing, Original Screenplay",1963
Jules Dassin,male,"Writing, Original Screenplay",1961
John Lasseter,male,"Writing, Original Screenplay",1996
Paul Mazursky,male,"Writing, Original Screenplay",1970
Paul Mazursky,male,"Writing, Original Screenplay",1975
Paul Mazursky,male,"Writing, Original Screenplay",1979
Iris Yamashita,female,"Writing, Original Screenplay",2007
Brad Bird,male,"Writing, Original Screenplay",2008
Brad Bird,male,"Writing, Original Screenplay",2005
Paul Haggis,male,"Writing, Original Screenplay",2007
Paul Haggis,male,"Writing, Original Screenplay",2006
Mark Boal,male,"Writing, Original Screenplay",2010
Mark Boal,male,"Writing, Original Screenplay",2013
Martin McDonagh,male,"Writing, Original Screenplay",2009
Jonathan Nolan,male,"Writing, Original Screenplay",2002
Charles Brackett,male,"Writing, Original Screenplay",1954
Charles Brackett,male,"Writing, Original Screenplay",1951
Brunello Rondi,male,"Writing, Original Screenplay",1964
Carlo Bernari,male,"Writing, Original Screenplay",1964
Jean Gruault,male,"Writing, Original Screenplay",1981
Robert Ardrey,male,"Writing, Original Screenplay",1967
W. R. Burnett,male,"Writing, Original Screenplay",1943
W. D. Richter,male,"Writing, Original Screenplay",1981
Vincenzo Cerami,male,"Writing, Original Screenplay",1999
Randall Wallace,male,"Writing, Original Screenplay",1996
Sergio Amidei,male,"Writing, Original Screenplay",1948
Sergio Amidei,male,"Writing, Original Screenplay",1950
Sergio Amidei,male,"Writing, Original Screenplay",1962
Jean-Charles Tacchella,male,"Writing, Original Screenplay",1977
Nedrick Young,male,"Writing, Original Screenplay",1959
Scott Silver,male,"Writing, Original Screenplay",2011
John Briley,male,"Writing, Original Screenplay",1983
Kurt Luedtke,male,"Writing, Original Screenplay",1982
Robert Getchell,male,"Writing, Original Screenplay",1975
Nick Enright,male,"Writing, Original Screenplay",1993
Stephen J. Rivele,male,"Writing, Original Screenplay",1996
Ben Roberts,male,"Writing, Original Screenplay",1958
Bruce Jay Friedman,male,"Writing, Original Screenplay",1985
David Newman,male,"Writing, Original Screenplay",1968
Suzanne de Passe,female,"Writing, Original Screenplay",1973
Joel Coen,male,"Writing, Original Screenplay",2010
Joel Coen,male,"Writing, Original Screenplay",1997
Joel Coen,male,"Writing, Original Screenplay",2016
Ethan Coen,male,"Writing, Original Screenplay",2010
Ethan Coen,male,"Writing, Original Screenplay",1997
Ethan Coen,male,"Writing, Original Screenplay",2016
George Oppenheimer,male,"Writing, Original Screenplay",1943
Naomi Sheridan,female,"Writing, Original Screenplay",2004
Ingmar Bergman,male,"Writing, Original Screenplay",1984
Ingmar Bergman,male,"Writing, Original Screenplay",1974
Ingmar Bergman,male,"Writing, Original Screenplay",1963
Ingmar Bergman,male,"Writing, Original Screenplay",1960
Ingmar Bergman,male,"Writing, Original Screenplay",1979
Luchino Visconti,male,"Writing, Original Screenplay",1970
Orson Welles,male,"Writing, Original Screenplay",1942
John Cleese,male,"Writing, Original Screenplay",1989
Terry Gilliam,male,"Writing, Original Screenplay",1986
Elio Petri,male,"Writing, Original Screenplay",1972
Warren Beatty,male,"Writing, Original Screenplay",1982
Warren Beatty,male,"Writing, Original Screenplay",1999
Warren Beatty,male,"Writing, Original Screenplay",1976
Steven Soderbergh,male,"Writing, Original Screenplay",1990
Sidney Sheldon,male,"Writing, Original Screenplay",1948
Fran Walsh,female,"Writing, Original Screenplay",1995
Ruth Gordon,female,"Writing, Original Screenplay",1948
Ruth Gordon,female,"Writing, Original Screenplay",1953
Ruth Gordon,female,"Writing, Original Screenplay",1951
Lisa Cholodenko,female,"Writing, Original Screenplay",2011
Suso Cecchi d'Amico,female,"Writing, Original Screenplay",1966
Barry Levinson,male,"Writing, Original Screenplay",1983
Barry Levinson,male,"Writing, Original Screenplay",1980
Barry Levinson,male,"Writing, Original Screenplay",1991
Fay Kanin,female,"Writing, Original Screenplay",1959
Bob Fosse,male,"Writing, Original Screenplay",1980
Brian Grazer,male,"Writing, Original Screenplay",1985
Andrew Stanton,male,"Writing, Original Screenplay",2009
Andrew Stanton,male,"Writing, Original Screenplay",2004
Andrew Stanton,male,"Writing, Original Screenplay",1996
Sidney Buchman,male,"Writing, Original Screenplay",1950
Richard Curtis,male,"Writing, Original Screenplay",1995
Pete Docter,male,"Writing, Original Screenplay",2010
Pete Docter,male,"Writing, Original Screenplay",2009
Pete Docter,male,"Writing, Original Screenplay",1996
Pete Docter,male,"Writing, Original Screenplay",2016
Andrew Niccol,male,"Writing, Original Screenplay",1999
Barry Morrow,male,"Writing, Original Screenplay",1989
Horton Foote,male,"Writing, Original Screenplay",1984
Terry Southern,male,"Writing, Original Screenplay",1970
Grant Heslov,male,"Writing, Original Screenplay",2006
Josh Greenfeld,male,"Writing, Original Screenplay",1975
Herman J. Mankiewicz,male,"Writing, Original Screenplay",1942
Waldo Salt,male,"Writing, Original Screenplay",1979
Kenneth Lonergan,male,"Writing, Original Screenplay",2003
Kenneth Lonergan,male,"Writing, Original Screenplay",2001
Kenneth Lonergan,male,"Writing, Original Screenplay",2017
David Seidler,male,"Writing, Original Screenplay",2011
Yorgos Lanthimos,male,"Writing, Original Screenplay",2017
William Inge,male,"Writing, Original Screenplay",1962
Dan Futterman,male,"Writing, Original Screenplay",2015
Steven Knight,male,"Writing, Original Screenplay",2004
Frank Tarloff,male,"Writing, Original Screenplay",1965
Robert Alan Aurthur,male,"Writing, Original Screenplay",1980
Philip Dunne,male,"Writing, Original Screenplay",1952
I. A. L. Diamond,male,"Writing, Original Screenplay",1967
