year,title,passing,director,writer,producer,overall
2019.0,Alita: Battle Angel,1,0.0,1.0,0,1.0
2019.0,Close,1,1.0,1.0,0,2.0
2019.0,Cold Pursuit,0,0.0,0.0,0,0.0
2019.0,The Kid Who Would Be King,0,0.0,0.0,1,1.0
2019.0,Polar,0,0.0,0.0,0,0.0
2019.0,Serenity,0,0.0,0.0,0,0.0
2018.0,6 Balloons,1,1.0,1.0,0,2.0
2018.0,A private war,0,0.0,0.0,1,1.0
2018.0,A Quiet Place,0,0.0,0.0,0,0.0
2018.0,A Simple Favor,1,0.0,1.0,1,2.0
2018.0,A Star Is Born,1,0.0,1.0,0,1.0
2018.0,A Wrinkle in Time,1,1.0,1.0,1,3.0
2018.0,Alex Strangelove,0,0.0,0.0,0,0.0
2018.0,Alpha,0,0.0,0.0,0,0.0
2018.0,American Animals,0,0.0,0.0,0,0.0
2018.0,An Elephant Sitting Still (Da xiang xi di er zuo),0,0.0,0.0,0,0.0
2018.0,Annihilation,1,0.0,0.0,0,0.0
2018.0,Ant-Man and the Wasp,1,0.0,0.0,1,1.0
2018.0,Apostle,1,0.0,0.0,0,0.0
2018.0,Aquaman,1,0.0,0.0,1,1.0
2018.0,Avengers: Infinity War,1,0.0,0.0,1,1.0
2018.0,The Ballad of Buster Scruggs,0,0.0,0.0,1,1.0
2018.0,Ben Is Back,1,0.0,0.0,1,1.0
2018.0,Bird Box,1,1.0,0.0,0,1.0
2018.0,Black Panther,1,0.0,0.0,0,0.0
2018.0,BlacKkKlansman,1,0.0,0.0,0,0.0
2018.0,Blindspotting,0,0.0,0.0,0,0.0
2018.0,Blockers,1,1.0,0.0,0,1.0
2018.0,Bohemian Rhapsody,0,0.0,0.0,0,0.0
2018.0,Book Club,1,0.0,0.0,0,0.0
2018.0,Bumblebee,0,0.0,1.0,0,1.0
2018.0,Cam,1,0.0,0.0,0,0.0
2018.0,Can You Ever Forgive Me?,1,1.0,1.0,1,3.0
2018.0,The Cloverfield Paradox,1,0.0,0.0,1,1.0
2018.0,Colette,1,0.0,1.0,1,2.0
2018.0,Crazy Rich Asians,1,0.0,1.0,1,2.0
2018.0,Creed II,1,0.0,0.0,0,0.0
2018.0,Deadpool 2,0,0.0,0.0,1,1.0
2018.0,Dog Days,1,0.0,0.0,0,0.0
2018.0,Dude,1,0.0,0.0,1,1.0
2018.0,Dumplin',1,1.0,0.0,0,1.0
2018.0,Eighth Grade,1,0.0,0.0,0,0.0
2018.0,Fantastic Beasts: The Crimes of Grindelwald,0,0.0,1.0,0,1.0
2018.0,The Favourite,1,0.0,1.0,0,1.0
2018.0,First Man,1,0.0,0.0,0,0.0
2018.0,First Match,1,0.0,0.0,0,0.0
2018.0,The First Purge,0,0.0,0.0,0,0.0
2018.0,Free Solo,0,1.0,0.0,1,2.0
2018.0,Game Night,1,0.0,0.0,0,0.0
2018.0,The Girl in the Spider's Web,1,0.0,0.0,1,1.0
2018.0,Green Book,0,0.0,0.0,0,0.0
2018.0,The Guernsey Literary and Potato Peel Pie Society,1,0.0,0.0,0,0.0
2018.0,Halloween,1,0.0,0.0,0,0.0
2018.0,The Hate U Give,1,0.0,1.0,0,1.0
2018.0,Hearts Beat Loud,1,0.0,0.0,0,0.0
2018.0,The Heiresses,1,0.0,0.0,0,0.0
2018.0,Hereditary,1,0.0,0.0,0,0.0
2018.0,Hold the Dark,0,0.0,0.0,0,0.0
2018.0,The House with a Clock in Its Walls,0,0.0,0.0,1,1.0
2018.0,I Feel Pretty,1,1.0,1.0,0,2.0
2018.0,If Beale Street Could Talk,1,0.0,0.0,1,1.0
2018.0,Isle of Dogs,1,0.0,0.0,0,0.0
2018.0,Johnny English Strikes Again,0,0.0,0.0,0,0.0
2018.0,Jurassic World: Fallen Kingdom,1,0.0,0.0,0,0.0
2018.0,The Kissing Booth,1,0.0,1.0,0,1.0
2018.0,Leave No Trace,1,1.0,1.0,1,3.0
2018.0,Life of the Party,1,0.0,1.0,0,1.0
2018.0,"Love, Simon",0,0.0,0.0,0,0.0
2018.0,Mamma Mia! Here We Go Again,1,0.0,0.0,1,1.0
2018.0,The Man Who Killed Don Quixote,0,0.0,0.0,0,0.0
2018.0,Mandy,0,0.0,0.0,0,0.0
2018.0,Mary Queen of Scots,1,1.0,0.0,1,2.0
2018.0,Maze Runner: The Death Cure,1,0.0,0.0,0,0.0
2018.0,The Meg,1,0.0,0.0,0,0.0
2018.0,Mid90s,0,0.0,0.0,0,0.0
2018.0,The Miseducation of Cameron Post,1,1.0,1.0,0,2.0
2018.0,Mission Impossible: Fallout,0,0.0,0.0,0,0.0
2018.0,Mortal Engines,1,0.0,1.0,1,2.0
2018.0,Nappily Ever Aftet,1,1.0,0.0,1,2.0
2018.0,Ocean's 8,1,0.0,0.0,0,0.0
2018.0,The Old Man & the Gun,0,0.0,0.0,1,1.0
2018.0,On the Basis of Sex,1,1.0,0.0,0,1.0
2018.0,Overboard,1,0.0,0.0,0,0.0
2018.0,Pacific Rim: Uprising,1,0.0,1.0,1,2.0
2018.0,Patient Zero,0,0.0,0.0,0,0.0
2018.0,Please Stand By,1,0.0,0.0,0,0.0
2018.0,The Predator,0,0.0,0.0,0,0.0
2018.0,Rafiki,1,1.0,0.0,0,1.0
2018.0,Rampage,1,0.0,0.0,0,0.0
2018.0,Ready Player One,1,0.0,0.0,1,1.0
2018.0,Red Sparrow,1,0.0,0.0,1,1.0
2018.0,Searching,0,0.0,0.0,0,0.0
2018.0,Set It Up,1,0.0,0.0,0,0.0
2018.0,Sheherazade,1,0.0,0.0,0,0.0
2018.0,Sierra Burgess Is a Loser,1,0.0,0.0,0,0.0
2018.0,Skate Kitchen,1,1.0,0.0,0,1.0
2018.0,Slender Man,1,0.0,0.0,0,0.0
2018.0,Solo: A Star Wars Story,0,0.0,0.0,1,1.0
2018.0,Sorry to Bother You,0,0.0,0.0,1,1.0
2018.0,Spider-Man : Into the Spider-Verse,0,0.0,0.0,1,1.0
2018.0,The Spy Who Dumped Me,1,1.0,1.0,1,3.0
2018.0,Stan & Ollie,1,0.0,0.0,0,0.0
2018.0,Suspiria,1,0.0,0.0,0,0.0
2018.0,Tag,1,0.0,0.0,0,0.0
2018.0,The Titan,0,0.0,0.0,0,0.0
2018.0,To All the Boys I've Loved Before,1,1.0,1.0,0,2.0
2018.0,Tomb Raider,1,0.0,1.0,0,1.0
2018.0,Tully,1,0.0,1.0,1,2.0
2018.0,Venom,0,0.0,1.0,1,2.0
2018.0,Vice,0,0.0,0.0,1,1.0
2018.0,When We First Met,0,0.0,0.0,1,1.0
2018.0,Widows,1,0.0,1.0,0,1.0
2018.0,Wildling,1,0.0,0.0,1,1.0
2017.0,1922,0,0.0,0.0,0,0.0
2017.0,47 Meters Down,1,0.0,0.0,0,0.0
2017.0,6 days,0,0.0,0.0,0,0.0
2017.0,A Bad Moms Christmas,1,0.0,0.0,1,1.0
2017.0,A Christmas Prince,1,0.0,0.0,0,0.0
2017.0,A Dog's Purpose,0,0.0,1.0,0,1.0
2017.0,A Ghost Story,0,0.0,0.0,0,0.0
2017.0,Alien: Covenant,1,0.0,0.0,0,0.0
2017.0,All Eyez On Me,0,0.0,0.0,0,0.0
2017.0,All the Money in the World,0,0.0,0.0,0,0.0
2017.0,American Assassin,1,0.0,0.0,0,0.0
2017.0,American Made,0,0.0,0.0,0,0.0
2017.0,Amityville: The Awakening,1,0.0,0.0,0,0.0
2017.0,Annabelle: Creation,1,0.0,0.0,0,0.0
2017.0,Apostasy,1,0.0,0.0,0,0.0
2017.0,Atomic Blonde,1,0.0,0.0,1,1.0
2017.0,Ava,1,1.0,0.0,0,1.0
2017.0,Baby Driver,0,0.0,0.0,0,0.0
2017.0,The Babysitter,1,0.0,0.0,0,0.0
2017.0,Band Aid,1,1.0,1.0,0,2.0
2017.0,Batman vs. Two-Face,1,0.0,0.0,0,0.0
2017.0,Battle of the Sexes,1,1.0,0.0,0,1.0
2017.0,Baywatch,0,0.0,0.0,0,0.0
2017.0,Beach Rats,1,1.0,1.0,0,2.0
2017.0,Beatriz at Dinner,1,0.0,0.0,1,1.0
2017.0,Before I Fall,1,1.0,1.0,0,2.0
2017.0,The Beguiled,1,1.0,1.0,1,3.0
2017.0,Berlin Syndrome,0,1.0,0.0,0,1.0
2017.0,The Big Sick,1,0.0,1.0,0,1.0
2017.0,Blade Runner 2049,1,0.0,0.0,1,1.0
2017.0,Borg vs McEnroe,0,0.0,0.0,0,0.0
2017.0,The Boss Baby,0,0.0,0.0,1,1.0
2017.0,The Breadwinner,1,1.0,1.0,0,2.0
2017.0,Bright,1,0.0,0.0,0,0.0
2017.0,Bushwick,1,0.0,0.0,0,0.0
2017.0,The Bye Bye Man,1,1.0,0.0,0,1.0
2017.0,Call Me by Your Name,1,0.0,0.0,0,0.0
2017.0,Captain Underpants: The First Epic Movie,0,0.0,0.0,1,1.0
2017.0,Cars 3,1,0.0,0.0,0,0.0
2017.0,The Circle,1,0.0,0.0,0,0.0
2017.0,Coco,1,0.0,0.0,1,1.0
2017.0,The Coin Heist,1,1.0,1.0,0,2.0
2017.0,Creep 2,0,0.0,0.0,0,0.0
2017.0,Daddy's Home 2,1,0.0,0.0,0,0.0
2017.0,Dance Academy: The Movie,1,0.0,0.0,0,0.0
2017.0,The Dark Tower,0,0.0,0.0,0,0.0
2017.0,Darkest Hour,0,0.0,0.0,1,1.0
2017.0,Death Note,0,0.0,0.0,0,0.0
2017.0,The Death of Stalin,0,0.0,0.0,0,0.0
2017.0,Death Race 2050,1,0.0,0.0,0,0.0
2017.0,Deidra & Laney Rob a Train,1,1.0,0.0,0,1.0
2017.0,Despicable Me 3,1,0.0,0.0,0,0.0
2017.0,Detroit,0,1.0,0.0,1,2.0
2017.0,Diary of a Wimpy Kid: The Long Haul,0,0.0,0.0,1,1.0
2017.0,The Dinner,1,0.0,0.0,0,0.0
2017.0,The Disaster Artist,1,0.0,0.0,0,0.0
2017.0,The Discovery,1,0.0,0.0,0,0.0
2017.0,Disobedience,1,0.0,1.0,1,2.0
2017.0,Downsizing,0,0.0,0.0,0,0.0
2017.0,Dunkirk,0,0.0,0.0,1,1.0
2017.0,El Camino Christmas,0,0.0,0.0,1,1.0
2017.0,The Emoji Movie,0,0.0,0.0,0,0.0
2017.0,The Endless,0,0.0,0.0,0,0.0
2017.0,The Escape,1,0.0,0.0,0,0.0
2017.0,"Everything, Everything",1,1.0,0.0,0,1.0
2017.0,The Fate of the Furious,1,0.0,0.0,0,0.0
2017.0,Felicite,1,0.0,0.0,0,0.0
2017.0,Fifty Shades Darker,1,0.0,0.0,0,0.0
2017.0,First Reformed,0,0.0,0.0,0,0.0
2017.0,Fist Fight,1,0.0,0.0,0,0.0
2017.0,The Florida Project,1,0.0,0.0,1,1.0
2017.0,Flower,1,0.0,0.0,0,0.0
2017.0,The Foreigner,0,0.0,0.0,0,0.0
2017.0,Fun Mom Dinner,1,0.0,0.0,0,0.0
2017.0,Gemini,1,0.0,0.0,0,0.0
2017.0,Geostorm,1,0.0,0.0,0,0.0
2017.0,Gerald's Game,1,0.0,0.0,0,0.0
2017.0,Get Out,1,0.0,0.0,0,0.0
2017.0,Ghost in the Shell,1,0.0,0.0,0,0.0
2017.0,Gifted,1,0.0,0.0,0,0.0
2017.0,Girls Trip,1,0.0,0.0,0,0.0
2017.0,The Glass Castle,1,0.0,1.0,0,1.0
2017.0,God's Own Country,0,0.0,0.0,0,0.0
2017.0,Going In Style,0,0.0,0.0,0,0.0
2017.0,Good Time,1,0.0,0.0,0,0.0
2017.0,The Greatest Showman,1,0.0,0.0,0,0.0
2017.0,Guardians of the Galaxy Vol. 2,1,0.0,0.0,1,1.0
2017.0,Happy Death Day,1,0.0,0.0,0,0.0
2017.0,The Hitman's Bodyguard,1,0.0,0.0,0,0.0
2017.0,Home Again,1,1.0,1.0,1,3.0
2017.0,Hostiles,1,0.0,0.0,0,0.0
2017.0,How to Be a Latin Lover,0,0.0,0.0,0,0.0
2017.0,I Don't Feel at Home in This World Anymore,1,0.0,0.0,0,0.0
2017.0,I Kill Giants,1,0.0,0.0,0,0.0
2017.0,"I, Tonya",1,0.0,0.0,1,1.0
2017.0,The Incredible Jessica James,1,0.0,0.0,0,0.0
2017.0,Ingrid Goes West,1,0.0,0.0,0,0.0
2017.0,It,1,0.0,0.0,0,0.0
2017.0,It Comes at Night,1,0.0,0.0,0,0.0
2017.0,Jigsaw,1,0.0,0.0,0,0.0
2017.0,John Wick: Chapter 2,0,0.0,0.0,0,0.0
2017.0,Jumanji: Welcome to the Jungle,1,0.0,0.0,0,0.0
2017.0,Justice League,1,0.0,0.0,1,1.0
2017.0,Kidnap,1,0.0,0.0,0,0.0
2017.0,The Killing of a Sacred Deer,1,0.0,0.0,0,0.0
2017.0,Kingsman: The Golden Circle,0,0.0,1.0,0,1.0
2017.0,Kong: Skull Island,0,0.0,0.0,0,0.0
2017.0,Lady Bird,1,1.0,1.0,0,2.0
2017.0,The Last Word,1,0.0,0.0,0,0.0
2017.0,The LEGO Batman Movie,1,0.0,0.0,0,0.0
2017.0,Life,1,0.0,0.0,1,1.0
2017.0,The Little Hours,1,0.0,0.0,1,1.0
2017.0,Logan,1,0.0,0.0,1,1.0
2017.0,Logan Lucky,1,0.0,0.0,0,0.0
2017.0,The Man with the Iron Heart,0,0.0,1.0,0,1.0
2017.0,Mark Felt: The Man Who Brought Down the White House,0,0.0,0.0,0,0.0
2017.0,Marshall,0,0.0,0.0,0,0.0
2017.0,Mayhem,1,0.0,0.0,0,0.0
2017.0,Megan Leavy,1,1.0,1.0,0,2.0
2017.0,The Meyerowitz Stories (new and selected),0,0.0,0.0,0,0.0
2017.0,Molly's Game,1,0.0,0.0,0,0.0
2017.0,Mom and Dad,1,0.0,0.0,0,0.0
2017.0,Mother!,0,0.0,0.0,0,0.0
2017.0,The Mountain Between Us,1,0.0,0.0,0,0.0
2017.0,Mudbound,1,1.0,1.0,0,2.0
2017.0,The Mummy,0,0.0,0.0,0,0.0
2017.0,Murder on the Orient Express,1,0.0,0.0,0,0.0
2017.0,My Cousin Rachel,1,0.0,0.0,0,0.0
2017.0,My Friend Dahmer,0,0.0,0.0,0,0.0
2017.0,My Little Pony: The Movie,1,0.0,1.0,0,1.0
2017.0,Naked,0,0.0,0.0,0,0.0
2017.0,Nogemu noraifu: Zero,1,1.0,0.0,0,1.0
2017.0,The Nut Job 2: Nutty By Nature,1,0.0,0.0,0,0.0
2017.0,Okja,1,0.0,0.0,1,1.0
2017.0,On Body and Soul,1,1.0,1.0,1,3.0
2017.0,The Only Living Boy in New York,0,0.0,0.0,0,0.0
2017.0,Only the Brave,0,0.0,0.0,1,1.0
2017.0,Paddington 2,1,0.0,0.0,0,0.0
2017.0,Phantom Thread,1,0.0,0.0,1,1.0
2017.0,Pilgrimage,0,0.0,0.0,0,0.0
2017.0,Pirates of the Caribbean: Dead Men Tell No Tales,0,0.0,0.0,0,0.0
2017.0,Pitch Perfect 3,1,1.0,1.0,1,3.0
2017.0,Pokemon the Movie: I Choose You!,1,0.0,0.0,0,0.0
2017.0,The Post,1,0.0,1.0,1,2.0
2017.0,Power Rangers,1,0.0,0.0,0,0.0
2017.0,Professor Marston and the Wonder Women,1,1.0,1.0,1,3.0
2017.0,Psych: The Movie,1,0.0,0.0,0,0.0
2017.0,Revenge,0,1.0,1.0,0,2.0
2017.0,The Ritual,0,0.0,0.0,0,0.0
2017.0,"Roman J. Israel, Esq.",1,0.0,0.0,0,0.0
2017.0,Rough Night,1,1.0,0.0,0,1.0
2017.0,Sand Castle,0,0.0,0.0,0,0.0
2017.0,The Shack,1,0.0,0.0,0,0.0
2017.0,The Shape of Water,1,0.0,1.0,0,1.0
2017.0,Snatched,1,0.0,1.0,0,1.0
2017.0,The Space Between Us,1,0.0,0.0,0,0.0
2017.0,Spider-Man: Homecoming,1,0.0,0.0,1,1.0
2017.0,The Square,0,0.0,0.0,0,0.0
2017.0,Star Wars: The Last Jedi,1,0.0,0.0,1,1.0
2017.0,Sweet Virginia,1,0.0,0.0,0,0.0
2017.0,T2 Trainspotting,1,0.0,0.0,0,0.0
2017.0,Table 19,1,0.0,0.0,0,0.0
2017.0,That's Not Me,1,0.0,0.0,0,0.0
2017.0,Thor: Ragnarok,0,0.0,0.0,1,1.0
2017.0,Thoroughbreds,1,0.0,0.0,0,0.0
2017.0,"Three Billboards Outside Ebbing, Missouri",1,0.0,0.0,0,0.0
2017.0,To the bone,1,1.0,1.0,0,2.0
2017.0,Transformers: The Last Knight,0,0.0,0.0,0,0.0
2017.0,Tulip Fever,1,0.0,1.0,1,2.0
2017.0,Tuntematon sotilas,1,0.0,0.0,0,0.0
2017.0,Un beau soleil interieur,0,1.0,0.0,0,1.0
2017.0,Unforgettable,1,1.0,0.0,0,1.0
2017.0,Unlocked,1,0.0,0.0,0,0.0
2017.0,Valerian and the City of a Thousand Planets,0,0.0,0.0,1,1.0
2017.0,Victoria & Abdul,0,0.0,0.0,0,0.0
2017.0,The Wall,0,0.0,0.0,0,0.0
2017.0,War for the Planet of the Apes,0,0.0,0.0,1,1.0
2017.0,What Happened to Monday,1,0.0,0.0,1,1.0
2017.0,Wheelman,0,0.0,0.0,0,0.0
2017.0,Wilson,1,0.0,0.0,0,0.0
2017.0,Wind River,1,0.0,0.0,0,0.0
2017.0,Wish Upon,1,0.0,1.0,0,1.0
2017.0,Wonder,1,0.0,0.0,0,0.0
2017.0,Wonder Wheel,1,0.0,0.0,1,1.0
2017.0,Wonder Woman,1,1.0,0.0,1,2.0
2017.0,xXx: Return of Xander Cage,1,0.0,0.0,0,0.0
2017.0,You Get Me,1,0.0,0.0,0,0.0
2017.0,You Were Never Really Here,0,1.0,1.0,0,2.0
2016.0,10 Cloverfield Lane,1,0.0,0.0,1,1.0
2016.0,10 Days In A Madhouse,1,0.0,0.0,0,0.0
2016.0,13 Hours,0,0.0,0.0,0,0.0
2016.0,20th Century Women,1,0.0,0.0,1,1.0
2016.0,The 5th Wave,0,0.0,1.0,0,1.0
2016.0,The 9th Life of Louis Drax,0,0.0,0.0,0,0.0
2016.0,A Cure for Wellness,0,0.0,0.0,0,0.0
2016.0,A Dark Song,0,0.0,0.0,0,0.0
2016.0,A Monster Calls,1,0.0,0.0,0,0.0
2016.0,A Quiet Passion,1,0.0,0.0,0,0.0
2016.0,A United Kingdom,1,1.0,0.0,0,1.0
2016.0,Absolutely Fabulous: The Movie,1,1.0,1.0,0,2.0
2016.0,The Accountant,0,0.0,0.0,0,0.0
2016.0,Adventures in Babysitting,1,0.0,1.0,1,2.0
2016.0,Alice Through the Looking Glass,1,0.0,1.0,1,2.0
2016.0,Allied,1,0.0,0.0,0,0.0
2016.0,Almost Christmas,1,0.0,0.0,0,0.0
2016.0,Always Shine,1,1.0,0.0,0,1.0
2016.0,American Honey,1,1.0,1.0,1,3.0
2016.0,Approaching the Unknown,0,0.0,0.0,0,0.0
2016.0,Aquarius,1,0.0,0.0,0,0.0
2016.0,Arrival,1,0.0,0.0,0,0.0
2016.0,Aruvi,1,0.0,0.0,0,0.0
2016.0,Assassin's Creed,0,0.0,0.0,0,0.0
2016.0,The Autopsy of Jane Doe,0,0.0,0.0,0,0.0
2016.0,Bad Moms,1,0.0,0.0,1,1.0
2016.0,Ballerina,1,0.0,0.0,0,0.0
2016.0,Bang Gang,1,1.0,0.0,0,1.0
2016.0,Bar Bahar,1,1.0,1.0,0,2.0
2016.0,Barbershop: The Next Cut,1,0.0,0.0,0,0.0
2016.0,Batman v Superman: Dawn of Justice,0,0.0,0.0,1,1.0
2016.0,Batman: Return of the Caped Crusaders,0,0.0,0.0,0,0.0
2016.0,Batman: The Killing Joke,0,0.0,0.0,0,0.0
2016.0,Be Somebody,1,0.0,0.0,0,0.0
2016.0,Belgica,0,0.0,0.0,0,0.0
2016.0,The Belko Experiment,1,0.0,0.0,0,0.0
2016.0,Below Her Mouth,1,1.0,0.0,0,1.0
2016.0,Better Watch Out,1,0.0,0.0,0,0.0
2016.0,The BFG,1,0.0,1.0,1,2.0
2016.0,Birkebeinerne,0,0.0,0.0,0,0.0
